Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns*,82,240.3,41.8,86.3,.484,4.2,12.7,.330,37.6,73.6,.511,20.4,28.1,.728,14.9,29.9,44.8,27.6,9.1,5.6,15.9,20.0,108.2
2,Golden State Warriors*,82,241.2,42.8,87.1,.492,3.5,10.5,.339,39.3,76.7,.512,18.6,28.1,.664,14.4,29.2,43.6,26.8,9.8,6.2,17.5,21.8,107.9
3,Portland Trail Blazers*,82,240.9,41.1,90.6,.454,3.3,9.4,.353,37.8,81.2,.466,21.7,29.2,.743,15.9,30.0,45.9,25.2,9.1,5.0,14.8,22.3,107.3
4,Charlotte Hornets,82,241.8,41.2,86.6,.476,4.1,11.2,.367,37.1,75.4,.493,19.9,26.0,.764,12.4,30.2,42.6,27.0,8.8,4.8,15.4,21.3,106.5
5,Seattle SuperSonics*,82,240.6,40.7,84.2,.484,3.0,8.8,.335,37.8,75.4,.501,21.6,29.0,.745,14.0,27.2,41.2,25.8,12.8,4.5,15.4,23.3,105.9
6,Orlando Magic*,82,240.6,40.7,83.9,.485,4.8,13.9,.347,35.9,70.1,.513,19.4,28.6,.678,14.4,28.7,43.1,25.2,8.3,5.6,16.2,20.9,105.7
7,Miami Heat*,82,241.5,39.0,84.1,.464,4.1,12.2,.338,34.9,71.9,.485,21.3,27.1,.785,15.1,29.4,44.4,22.6,7.8,4.6,16.0,24.7,103.4
8,New Jersey Nets*,82,241.8,38.6,86.8,.445,2.7,8.3,.327,35.9,78.4,.458,23.2,30.4,.762,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6,103.2
9,Los Angeles Clippers,82,241.2,40.8,87.4,.467,3.1,10.1,.303,37.7,77.2,.488,18.4,26.0,.709,13.7,29.4,43.0,26.5,9.8,5.1,18.0,21.6,103.0
10,Utah Jazz*,82,241.8,39.1,82.1,.477,2.2,6.8,.320,36.9,75.2,.491,21.5,29.0,.740,12.9,29.1,42.0,26.6,9.2,4.4,14.5,24.2,101.9
11,Atlanta Hawks*,82,240.9,39.6,85.8,.461,3.3,10.1,.323,36.3,75.7,.480,19.0,25.2,.752,15.2,29.5,44.8,25.1,11.2,5.5,15.3,19.8,101.4
12,Cleveland Cavaliers*,82,242.1,38.2,82.1,.465,3.6,9.9,.362,34.6,72.2,.480,21.2,27.5,.770,13.3,28.7,42.0,25.0,8.6,5.2,13.9,20.7,101.2
13,Houston Rockets*,82,241.2,39.0,82.1,.475,5.2,15.7,.334,33.8,66.4,.508,17.9,24.1,.743,11.3,31.9,43.2,25.5,8.7,5.9,16.3,20.1,101.1
14,Sacramento Kings,82,240.9,38.8,85.7,.452,3.1,8.9,.353,35.6,76.8,.464,20.4,28.0,.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1
